columnName,group1,group2,group3,group4,comments
max_MODEL,SURVEY,VEHICLE,,,
max_MSACAT,SURVEY,VEHICLE,,,
max_MSASIZE,SURVEY,VEHICLE,,,
max_NUMADLT,SURVEY,VEHICLE,,,
max_OD_READ,SURVEY,VEHICLE,,,
max_PERSONID,SURVEY,VEHICLE,,,
max_RAIL,SURVEY,VEHICLE,,,
max_SMPLSRCE,SURVEY,VEHICLE,,,
max_TDAYDATE,SURVEY,VEHICLE,,,
max_TRAVDAY,SURVEY,VEHICLE,,,
max_URBAN,SURVEY,VEHICLE,,,
max_URBANSIZE,SURVEY,VEHICLE,,,
max_URBRUR,SURVEY,VEHICLE,,,
max_VEHAGE,SURVEY,VEHICLE,,,
max_VEHOWNED,SURVEY,VEHICLE,,,
max_VEHOWNMO,SURVEY,VEHICLE,,,
max_VEHTYPE,SURVEY,VEHICLE,,,
max_VEHYEAR,SURVEY,VEHICLE,,,
max_WHOMAIN,SURVEY,VEHICLE,,,
max_WRKCOUNT,SURVEY,VEHICLE,,,
max_WTHHFIN,SURVEY,VEHICLE,,,
MCUSED,SURVEY,PERSON,HABITS,,
MEDCOND,SURVEY,PERSON,MEDICAL,,
MEDCOND6,SURVEY,PERSON,MEDICAL,,
min_ANNMILES,SURVEY,VEHICLE,,,
min_BEST_EDT,SURVEY,VEHICLE,,,
min_BEST_FLG,SURVEY,VEHICLE,,,
min_BEST_OUT,SURVEY,VEHICLE,,,
min_BESTMILE,SURVEY,VEHICLE,,,
min_CDIVMSAR,SURVEY,VEHICLE,,,
min_CENSUS_D,SURVEY,VEHICLE,,,
min_CENSUS_R,SURVEY,VEHICLE,,,
min_DRVRCNT,SURVEY,VEHICLE,,,
min_FEGEMPG,SURVEY,VEHICLE,,,
min_FEGEMPGA,SURVEY,VEHICLE,,,
min_FEGEMPGF,SURVEY,VEHICLE,,,
min_FUELTYPE,SURVEY,VEHICLE,,,
min_GSCOST,SURVEY,VEHICLE,,,
min_GSTOTCST,SURVEY,VEHICLE,,,
min_GSYRGAL,SURVEY,VEHICLE,,,
min_HBHTNRNT,SURVEY,VEHICLE,,,
min_HBHUR,SURVEY,VEHICLE,,,
min_HBPPOPDN,SURVEY,VEHICLE,,,
min_HBRESDN,SURVEY,VEHICLE,,,
min_HFUEL,SURVEY,VEHICLE,,,
min_HH_CBSA,SURVEY,VEHICLE,,,
min_HH_HISP,SURVEY,VEHICLE,,,
min_HH_RACE,SURVEY,VEHICLE,,,
min_HHFAMINC,SURVEY,VEHICLE,,,
